( 0 , 'there are such a large amount of')
( 23 , 'to choose from')
( 23 , 'to choose between')
( 24 , 'to give an explanation for')
( 24 , 'to explain')
( 24 , 'to provide an explanation for')
( 25 , 'they may be able to')
( 25 , 'they can')
( 25 , 'they are able to')
( 26 , 'they don''t seem to be')
( 26 , 'they aren''t')
( 26 , 'they are not')
( 27 , 'there are a reasonably large')
( 27 , 'there are a pretty big')
( 27 , 'there are a fairly large')
( 28 , 'there are a pretty big')
( 28 , 'there are a reasonably large')
( 28 , 'there are a fairly large')
( 29 , 'there is something')
( 29 , 'there''s something')
( 30 , 'the name of the game')
( 30 , 'the secret')
( 31 , 'the most up to date')
( 31 , 'the hottest')
( 31 , 'the freshest')
( 32 , 'that you are going to')
( 32 , 'that you''re going to')
( 32 , 'that you will')
( 33 , 'that they are going to')
( 33 , 'that they''re going to')
( 33 , 'that they will')
( 34 , 'that makes a speciality of')
( 34 , 'that focuses on')
( 34 , 'that specializes in')
( 35 , 'T.V. ads')
( 35 , 'tv ads')
( 35 , 'television commercials')
( 36 , 'such a large amount of')
( 36 , 'such a lot of')
( 37 , 'of top of the range')
( 37 , 'of top-end')
( 37 , 'of high-end')
( 38 , 'many years yet to come')
( 38 , 'many years to come')
( 38 , 'many future years')
( 39 , 'it''s not that i am')
( 39 , 'i''m really not')
( 39 , 'i am not')
( 40 , 'is in a similar fashion')
( 40 , 'is similarly')
( 40 , 'is in a similar way')
( 41 , 'is in a position to')
( 41 , 'is able to ')
( 42 , 'if this is the case')
( 42 , 'if so')
( 42 , 'if that is so')
( 43 , 'i will be able to')
( 43 , 'i can')
( 43 , 'i will')
( 44 , 'have a tendency to be')
( 44 , 'tend to be')
( 45 , 'get yourself up to speed')
( 45 , 'make yourself familiar')
( 45 , 'familiarize yourself')
( 46 , 'at the same time as')
( 46 , 'concurrently')
( 46 , 'similtaneously')
( 47 , 'and that is the reason')
( 47 , 'and that''s')
( 47 , 'and that''s the reason')
( 48 , 'and take a look at')
( 48 , 'and try')
( 48 , 'and check out')
( 49 , 'and do not be disturbed')
( 49 , 'and do not fret')
( 49 , 'and don''t worry')
( 50 , 'an up to the moment')
( 50 , 'an up to date')
( 50 , 'an up-to-the-minute')
( 51 , 'an a variety of benefits')
( 51 , 'a number of advantages')
( 51 , 'a number of benefits')
( 52 , '1st viscount montgomery of alamein')
( 52 , 'Montgomery')
( 52 , 'Bernard Law Montgomery')
( 52 , 'Sir Bernard Law')
( 53 , '1st earl baldwin of bewdley')
( 53 , 'Baldwin')
( 53 , 'Stanley Baldwin')
( 53 , '1st Earl Baldwin of Bewdley')
( 54 , 'a run of the mill')
( 54 , 'an uneventful')
( 54 , 'a boring')
( 54 , 'a monotonous')
( 54 , 'a humdrum')
( 55 , 'an out of this world')
( 55 , 'a fantastic')
( 55 , 'an unbelievable')
( 55 , 'an incredible')
( 55 , 'an implausible')
( 55 , 'an improbable')
( 56 , 'ironically')
( 56 , 'paradoxically')
( 56 , 'sarcastically')
( 56 , 'mockingly')
( 56 , 'satirically')
( 57 , 'at a loss for words')
( 57 , 'perplexed')
( 57 , 'confused')
( 57 , 'puzzled')
( 58 , 'at the hours of darkness')
( 58 , 'in the dark')
( 58 , 'in the dead of night')
( 58 , 'at midnight')
( 58 , 'at nighttime')
( 59 , 'at the same time as')
( 59 , 'whilst')
( 59 , 'even as')
( 59 , 'while ')
( 60 , 'by hook or by crook')
( 60 , 'somehow')
( 60 , 'one way or the other')
( 60 , 'by some means')
( 60 , 'come what may')
( 60 , 'someway')
( 60 , 'in some way')
( 60 , 'by some means')
( 61 , 'earn a living from home')
( 61 , 'work from home')
( 61 , 'work at home')
( 61 , 'do business from home')
( 61 , 'make money working from home')
( 62 , 'gave the impression to be')
( 62 , 'seemed to be')
( 62 , 'appeared to be')
( 62 , 'looked to be')
( 62 , 'gave the look to be')
( 63 , 'gave the look to be')
( 63 , 'seemed to be')
( 63 , 'appeared to be')
( 63 , 'gave the impression to be')
( 63 , 'looked to be')
( 64 , 'get right of entry to')
( 64 , 'get admission to')
( 64 , 'get right to use')
( 64 , 'get entry to')
( 65 , 'get to the bottom of')
( 65 , 'resolve')
( 65 , 'unravel')
( 66 , 'heading in the right direction')
( 66 , 'on track')
( 66 , 'on target')
( 66 , 'on course')
( 66 , 'on the right track')
( 66 , 'not off course')
( 67 , 'in a well mannered way')
( 67 , 'politely')
( 67 , 'courteously')
( 67 , 'with courtesy')
( 67 , 'with politeness ')
( 68 , 'in the dead of night')
( 68 , 'in the dark')
( 68 , 'at midnight')
( 68 , 'at the hours of darkness')
( 68 , 'at nighttime')
( 69 , 'in this day and age')
( 69 , 'these days')
( 69 , 'nowadays')
( 69 , 'at the present time')
( 69 , 'at the moment')
( 70 , 'is of the same opinion')
( 70 , 'has the same opinion')
( 70 , 'concurs')
( 70 , 'consents')
( 70 , 'sees eye to eye')
( 71 , 'judgment of right and wrong')
( 71 , 'conscience')
( 71 , 'moral sense')
( 71 , 'sense of right and wrong ')
( 72 , 'live to tell the tale')
( 72 , 'survive')
( 72 , 'live on')
( 72 , 'continue to exist')
( 73 , 'looked as if it would')
( 73 , 'seemed to')
( 73 , 'appeared to')
( 73 , 'gave the impression to')
( 73 , 'perceived to')
( 74 , 'make an observation')
( 74 , 'make a remark')
( 75 , 'observation')
( 75 , 'remark')
( 75 , 'statement')
( 75 , 'commentary')
( 76 , 'make money working from home')
( 76 , 'work from home')
( 76 , 'work at home')
( 76 , 'do business from home')
( 76 , 'earn a living from home')
( 77 , 'one way or the other')
( 77 , 'somehow')
( 77 , 'by some means')
( 77 , 'come what may')
( 77 , 'by hook or by crook')
( 77 , 'someway')
( 77 , 'in some way')
( 77 , 'by some means')
( 78 , 'professional hands and fingernails care')
( 78 , 'manicure')
( 78 , 'beauty treatment')
( 78 , 'beauty care')
( 78 , 'nail trimming')
( 78 , 'nail filing')
( 78 , 'nail clipping')
( 78 , 'nail cutting')
( 78 , 'nail cropping')
( 79 , 'put out of your mind')
( 79 , 'forget')
( 79 , 'fail to remember')
( 79 , 'overlook')
( 79 , 'disregard')
( 79 , 'omit')
( 80 , 'ring a bell in me')
( 80 , 'remind me')
( 80 , 'job my memory')
( 80 , 'strike a cord in me')
( 80 , 'take me back to the fact')
( 81 , 'sense of right and wrong')
( 81 , 'conscience')
( 81 , 'moral sense')
( 81 , 'judgment of right and wrong ')
( 82 , 'strike a cord in me')
( 82 , 'remind me')
( 82 , 'job my memory')
( 82 , 'ring a bell in me')
( 82 , 'take me back to the fact')
( 83 , 'that you can think of')
( 83 , 'that you can imagine')
( 84 , 'imaginable')
( 84 , 'conceivable')
( 84 , 'possible')
( 85 , 'what was causing')
( 85 , 'what should be blamed for')
( 85 , 'what was making')
( 85 , 'what was responsible for')
( 85 , 'what was the reason for')
( 86 , 'the day prior to this')
( 86 , 'yesterday')
( 86 , 'the previous day')
( 86 , 'the day past')
( 86 , 'the day before today')
( 86 , 'the day gone by')
( 87 , 'the next day to come')
( 87 , 'tomorrow')
( 87 , 'day after today')
( 87 , 'the next day')
( 87 , 'the following day')
( 88 , 'those who have the ailment')
( 88 , 'those who are victims of the ailment')
( 89 , 'sufferers')
( 89 , 'victims')
( 90 , 'forever')
( 90 , 'eternally')
( 90 , 'endlessly')
( 90 , 'perpetually')
( 90 , 'ceaselessly')
( 90 , 'without end')
( 91 , 'under the influence of alcohol')
( 91 , 'drunk')
( 91 , 'inebriated ')
( 92 , 'always')
( 92 , 'all the time')
( 92 , 'at all times')
( 93 , 'frequently')
( 93 , 'regularly')
( 93 , 'incessantly')
( 93 , 'steadily')
( 93 , 'ceaselessly')
( 93 , 'often')
( 93 , 'continuously')
( 94 , 'what was causing')
( 94 , 'what was making')
( 94 , 'what was responsible for')
( 94 , 'what was the reason for')
( 95 , 'what was the reason for')
( 95 , 'what was causing')
( 95 , 'what was making')
( 95 , 'what was responsible for')
( 96 , 'with a bit of luck')
( 96 , 'hopefully')
( 96 , 'expectantly')
( 96 , 'optimistically')
( 96 , 'confidently')
( 97 , 'for granted')
( 97 , 'without any consideration')
( 97 , 'as a right')
( 97 , 'with no consideration')
( 98 , 'with no end in sight')
( 98 , 'ad infinitum')
( 98 , 'endlessly')
( 98 , 'for ever and ever')
( 98 , 'with no sign of ending')
( 98 , 'without end')
( 99 , 'with no sign of ending')
( 99 , 'ad infinitum')
( 99 , 'endlessly')
( 99 , 'for ever and ever')
( 99 , 'with no end in sight')
( 99 , 'without end')
( 100 , 'when it comes to')
( 100 , 'in terms of')
( 100 , 'in relation to')
( 100 , 'with regards to')
( 100 , 'relating to')
( 100 , 'on the subject of')
( 100 , 'in the case of ')
( 101 , 'when it comes to')
( 101 , 'in terms of')
( 102 , 'is one of the')
( 102 , 'is among the')
( 102 , 'is likely one of the')
( 102 , 'is without doubt one of the')
( 103 , 'one of the most')
( 103 , 'some of the')
( 103 , 'one of the')
( 103 , 'probably the most')
( 103 , 'one of the crucial')
( 103 , 'one of the vital')
( 104 , 'you are able to')
( 104 , 'you''ll be able to')
( 105 , 'one of the most')
( 105 , 'one of the crucial')
( 105 , 'one of the vital')
( 105 , 'probably the most ')
( 106 , 'is one of the')
( 106 , 'is among the')
( 106 , 'is without doubt one of the')
( 106 , 'is likely one of the')
( 107 , 'on a regular basis')
( 107 , 'regularly')
( 107 , 'frequently')
( 108 , 'may be able to')
( 108 , 'could possibly')
( 108 , 'might be able to')
( 109 , 'when it comes to')
( 109 , 'in terms of')
( 109 , 'with regards to')
( 109 , 'in relation to')
( 109 , 'on the subject of')
( 109 , 'relating to')
( 110 , 'a lot of money')
( 110 , 'some huge cash')
( 111 , 'simultaneously')
( 111 , 'concurrently')
( 112 , 'but even so')
( 112 , 'besides ')
( 113 , 'keep in mind that')
( 113 , 'remember that')
( 113 , 'understand that')
( 113 , 'needless to say')
( 113 , 'take into account that')
( 113 , 'remember the fact that')
( 114 , 'on a regular basis')
( 114 , 'frequently')
( 114 , 'regularly')
( 114 , 'all the time')
( 115 , 'keep in mind that')
( 115 , 'understand that')
( 115 , 'remember that')
( 116 , 'it is important to')
( 116 , 'it is very important')
( 116 , 'you will need to')
( 117 , 'when it comes to')
( 117 , 'in terms of')
( 117 , 'with regards to')
( 117 , 'in relation to')
( 117 , 'on the subject of')
( 117 , 'relating to')
( 117 , 'in the case of ')
( 118 , 'a large number of')
( 118 , 'numerous')
( 118 , 'a lot of')
( 119 , 'on the other hand')
( 119 , 'however')
( 119 , 'then again')
( 119 , 'alternatively')
( 120 , 'on the other hand')
( 120 , 'however')
( 121 , 'it is important to')
( 121 , 'you will need to')
( 121 , 'it is very important')
( 122 , 'a lot of people')
( 122 , 'lots of people')
( 123 , 'it is important to')
( 123 , 'it is very important')
( 124 , 'is one of the')
( 124 , 'is among the')
( 125 , 'on the other hand')
( 125 , 'however')
( 125 , 'alternatively')
( 125 , 'then again')
( 126 , 'you will have to')
( 126 , 'you''ll have to')
( 127 , 'keep in mind that')
( 127 , 'understand that')
( 127 , 'remember that')
( 127 , 'take into account that')
( 127 , 'remember the fact that')
( 128 , 'so that you can')
( 128 , 'so as to')
( 128 , 'to be able to')
( 128 , 'so to')
( 128 , 'in an effort to')
( 128 , 'as a way to')
( 128 , 'with the intention to')
( 128 , 'so that you could')
( 129 , 'to be able to')
( 129 , 'to have the ability to ')
( 130 , 'as a result of')
( 130 , 'because of')
( 130 , 'on account of')
( 131 , 'when it comes to')
( 131 , 'in terms of')
( 131 , 'with regards to')
( 131 , 'in relation to')
( 131 , 'on the subject of')
( 132 , 'to be able to')
( 132 , 'to have the ability to')
( 133 , 'keep in mind that')
( 133 , 'remember that')
( 133 , 'understand that')
( 133 , 'needless to say')
( 133 , 'remember')
( 133 , 'take into account that')
( 134 , 'a large number of')
( 134 , 'numerous')
( 135 , 'make sure that you')
( 135 , 'just remember to')
( 135 , 'just be sure you')
( 136 , 'there are lots of')
( 136 , 'there are many')
( 137 , 'make sure that you')
( 137 , 'just be sure you')
( 137 , 'just remember to')
( 138 , 'a lot of money')
( 138 , 'some huge cash')
( 138 , 'handsome profit')
( 139 , 'you will be able')
( 139 , 'it is possible for you to')
( 140 , 'if you want to')
( 140 , 'if you wish to')
( 141 , 'a great deal of')
( 141 , 'quite a lot of')
( 141 , 'a substantial amount of')
( 141 , 'an excessive amount of')
( 142 , 'you will want to')
( 142 , 'it would be best to')
( 142 , 'you''ll want to')
( 143 , 'is one of the')
( 143 , 'is among the')
( 143 , 'is without doubt one of the')
( 143 , 'is likely one of the')
( 143 , 'is definitely one of the')
( 143 , 'is probably the')
( 144 , 'you will have to')
( 144 , 'you''ll have to')
( 144 , 'you will need to')
( 145 , 'you will want to')
( 145 , 'you''ll want to ')
( 146 , 'one of the best')
( 146 , 'probably the greatest')
( 146 , 'top-of-the-line')
( 146 , 'the most effective')
( 146 , 'among the best')
( 146 , 'among the finest')
( 147 , 'if you want to')
( 147 , 'if you wish to')
( 148 , 'a great deal of')
( 148 , 'significant amounts of')
( 149 , 'you''ll be able to')
( 149 , 'you''ll')
( 149 , 'you can')
( 150 , 'you would have to')
( 150 , 'you would need to')
( 151 , 'you wish to have')
( 151 , 'you want')
( 151 , 'you need')
( 152 , 'you wanting to begin')
( 152 , 'you intending to start')
( 152 , 'you looking to start')
( 153 , 'you shouldn''t have any')
( 153 , 'you should not have any')
( 153 , 'you should have no')
( 154 , 'you should have no')
( 154 , 'you should not have any')
( 154 , 'you shouldn''t have any')
( 155 , 'you rather a lot')
( 155 , 'you quite a lot')
( 155 , 'you quite a bit')
( 156 , 'you money and time')
( 156 , 'you time and cash')
( 156 , 'you time and money')
( 157 , 'you may additionally')
( 157 , 'you might also')
( 157 , 'you may also')
( 158 , 'you make a decision')
( 158 , 'making a decision')
( 158 , 'you decide')
( 159 , 'you made a decision')
( 159 , 'you decided')
( 160 , 'you look and feel')
( 160 , 'you feel and look')
( 161 , 'you head to head')
( 161 , 'you face to face')
( 161 , 'you eyeball to eyeball')
( 162 , 'you have an interest')
( 162 , 'you are interested')
( 163 , 'you have already got')
( 163 , 'you already have')
( 164 , 'you familiarize yourself')
( 164 , 'you become familiar')
( 165 , 'you get bored of')
( 165 , 'you get tired of')
( 165 , 'you become bored with')
( 166 , 'you need not')
( 166 , 'you needn''t')
( 167 , 'you don''t have any')
( 167 , 'you have no')
( 167 , 'you haven''t any')
( 168 , 'you do not want')
( 168 , 'you don''t want')
( 168 , 'you do not need')
( 169 , 'you do not need')
( 169 , 'you do not want')
( 169 , 'you don''t want')
( 170 , 'you do a little')
( 170 , 'you perform a little')
( 171 , 'you can most likely')
( 171 , 'you can probably')
( 172 , 'you are going to')
( 172 , 'you will')
( 172 , 'you''ll')
( 172 , 'you''re going to')
( 173 , 'you appear to be')
( 173 , 'you look like')
( 173 , 'you seem like')
( 174 , 'you a numerous sorts')
( 174 , 'you a various sorts')
( 174 , 'you a various types')
( 175 , 'years yet to come')
( 175 , 'years to come')
( 175 , 'future years')
( 176 , 'will not be able')
( 176 , 'will be unable')
( 176 , 'won''t be able')
( 177 , 'which helps you to')
( 177 , 'which lets you ')
( 178 , 'which can result in')
( 178 , 'which may end up in')
( 178 , 'which can lead to')
( 179 , 'which allows you to')
( 179 , 'which lets you')
( 180 , 'which allow you to')
( 180 , 'which let you')
( 181 , 'what number of people')
( 181 , 'how many people')
( 182 , 'what quantity of money')
( 182 , 'how much money')
( 182 , 'how much cash')
( 183 , 'what is going to')
( 183 , 'what will')
( 183 , 'what''s going to')
( 184 , 'what is going on')
( 184 , 'what''s going on')
( 185 , 'we''d be able to')
( 185 , 'we would be able to')
( 186 , 'we don''t have any')
( 186 , 'we have no')
( 186 , 'we haven''t any')
( 187 , 'we are not making')
( 187 , 'we do not make')
( 187 , 'we don''t make')
( 188 , 'we are going to')
( 188 , 'we''re going to')
( 189 , 'up to the moment')
( 189 , 'up to date')
( 189 , 'up-to-the-minute')
( 190 , 'top of the range')
( 190 , 'high quality')
( 190 , 'prime quality')
( 190 , 'top quality')
( 191 , 'to take a seat')
( 191 , 'to sit')
( 191 , 'to sit down')
( 192 , 'to take a look')
( 192 , 'to have a look')
( 193 , 'to stick out from')
( 193 , 'to stand proud of')
( 193 , 'to stand out from')
( 194 , 'to spend a lot')
( 194 , 'to spend so much')
( 195 , 'to sit up straight')
( 195 , 'to sit up')
( 195 , 'to perk up')
( 196 , 'to sign up for')
( 196 , 'to join')
( 196 , 'to enroll in')
( 197 , 'to pass judgement on')
( 197 , 'to judge')
( 198 , 'to offer protection to')
( 198 , 'to protect')
( 198 , 'to give protection to')
( 199 , 'to mix and matching')
( 199 , 'to mixing and matching')
( 200 , 'to make yourself familiar')
( 200 , 'to familiarize yourself')
( 200 , 'to get yourself up to speed')
( 201 , 'to make the effort')
( 201 , 'to take the time')
( 202 , 'to make more money')
( 202 , 'to make more cash')
( 202 , 'to earn more money')
( 203 , 'to make a choice')
( 203 , 'to select')
( 203 , 'to choose')
( 204 , 'to last up to')
( 204 , 'to last as long as')
( 205 , 'to keep in mind')
( 205 , 'to remember')
( 205 , 'to bear in mind')
( 206 , 'to have a look')
( 206 , 'to take a look')
( 207 , 'to go to sleep')
( 207 , 'to fall asleep')
( 208 , 'to give protection to')
( 208 , 'to offer protection to')
( 208 , 'to protect')
( 209 , 'to feel good about')
( 209 , 'to be ok with')
( 210 , 'to feel embarrassment about')
( 210 , 'to be embarrassed about')
( 210 , 'to be ashamed of')
( 211 , 'to resist')
( 211 , 'to withstand')
( 212 , 'to earn more cash')
( 212 , 'to make more money')
( 212 , 'to make more cash')
( 213 , 'to do some research')
( 213 , 'to perform a little research')
( 213 , 'to do a little analysis')
( 214 , 'to choosing the proper')
( 214 , 'to choosing the right')
( 214 , 'to selecting the best')
( 215 , 'to bring life to')
( 215 , 'to liven up')
( 216 , 'to bear in mind')
( 216 , 'to remember')
( 216 , 'to keep in mind')
( 217 , 'to be aware of')
( 217 , 'to concentrate on')
( 217 , 'to pay attention to')
( 218 , 'to searching for')
( 218 , 'to looking for')
( 219 , 'to a much broader')
( 219 , 'to a wider')
( 219 , 'to a much wider')
( 220 , 'to a fancy dress')
( 220 , 'to a dressing up')
( 221 , 'to a dinner party')
( 221 , 'to a cocktail party')
( 222 , 'to 1 / 4')
( 222 , 'to a quarter')
( 223 , 'this permits you to')
( 223 , 'this lets you')
( 223 , 'this allows you to')
( 224 , 'this period of time')
( 224 , 'this time period')
( 225 , 'this day and age')
( 225 , 'this point in time')
( 226 , 'this assists in keeping')
( 226 , 'this helps to keep')
( 227 , 'this allows you to')
( 227 , 'this lets you')
( 228 , 'they have a tendency')
( 228 , 'they generally tend')
( 228 , 'they tend')
( 229 , 'they do not have')
( 229 , 'they don''t have')
( 230 , 'they can be a')
( 230 , 'they could be a')
( 231 , 'they are going to')
( 231 , 'they will')
( 231 , 'they''re going to')
( 231 , 'they''ll')
( 232 , 'they are able to')
( 232 , 'they''re able to')
( 232 , 'they can')
( 233 , 'they appear to be')
( 233 , 'they seem like')
( 233 , 'they look like')
( 234 , 'there is not any')
( 234 , 'there is no')
( 234 , 'there''s no')
( 235 , 'there are so many')
( 235 , 'there are such a lot of')
( 236 , 'there are plenty of')
( 236 , 'there are many')
( 237 , 'there are lots of')
( 237 , 'there are many')
( 238 , 'there are just a')
( 238 , 'there are only a')
( 239 , 'there are a variety')
( 239 , 'there are a selection')
( 239 , 'there are a number')
( 240 , 'there are a range')
( 240 , 'there are a selection')
( 240 , 'there are a number')
( 241 , 'there are a number')
( 241 , 'there are a selection')
( 241 , 'there are a variety')
( 242 , 'then why don''t you')
( 242 , 'then why not')
( 243 , 'the wonderful thing about')
( 243 , 'the beauty of')
( 244 , 'the way of living')
( 244 , 'the lifestyle')
( 244 , 'the way of life')
( 245 , 'the warmth and light')
( 245 , 'the heat and light')
( 245 , 'the light and heat')
( 246 , 'the style and color')
( 246 , 'the color and style')
( 247 , 'the sizes and shapes')
( 247 , 'the dimensions and shapes')
( 247 , 'the configurations and dimensions')
( 248 , 'the security and safety')
( 248 , 'the safety and security')
( 249 , 'the public and private')
( 249 , 'the private and non-private')
( 250 , 'the previous couple of')
( 250 , 'the previous few')
( 250 , 'the last few')
( 251 , 'the point of interest')
( 251 , 'the focal point')
( 251 , 'the focus')
( 252 , 'the once a year')
( 252 , 'the yearly')
( 252 , 'the annual')
( 253 , 'the old and young')
( 253 , 'the young and old')
( 254 , 'the most well liked')
( 254 , 'the preferred')
( 254 , 'the most popular')
( 255 , 'the most suitable option')
( 255 , 'the most suitable choice')
( 255 , 'the best option')
( 256 , 'the look and feel')
( 256 , 'the feel and appear')
( 256 , 'the appear and feel')
( 257 , 'the hot and cold')
( 257 , 'the cold and hot')
( 257 , 'the cold and warm')
( 258 , 'the great thing about')
( 258 , 'the wonderful thing about')
( 258 , 'the beauty of')
( 259 , 'the good thing about')
( 259 , 'the advantage of')
( 259 , 'the benefit of')
( 260 , 'the front and back')
( 260 , 'the back and front')
( 261 , 'the look and feel')
( 261 , 'the feel and look')
( 262 , 'the fantastic thing about')
( 262 , 'the great thing about')
( 262 , 'the beauty of')
( 263 , 'the effort and time')
( 263 , 'the time and effort')
( 264 , 'the cold and hot')
( 264 , 'the cold and warm')
( 264 , 'the hot and cold')
( 265 , 'the clothing and accessories')
( 265 , 'the clothes and niknaks')
( 265 , 'the clothes and accessories')
( 266 , 'the bits and bobs')
( 266 , 'the ins and outs')
( 266 , 'the fine details')
( 267 , 'the back and front')
( 267 , 'the front and back')
( 268 , 'the amount of cash')
( 268 , 'the amount of money')
( 269 , 'that you''re going to')
( 269 , 'that you''ll')
( 269 , 'that you will')
( 270 , 'that you will need')
( 270 , 'that you''ll want')
( 270 , 'that you will want')
( 271 , 'that you have got')
( 271 , 'that you''ve got')
( 272 , 'that you are not')
( 272 , 'that you''re not')
( 273 , 'that you are going')
( 273 , 'that you''re going')
( 274 , 'that you are a')
( 274 , 'that you''re a')
( 275 , 'that they have got')
( 275 , 'that they have')
( 275 , 'that they''ve')
( 276 , 'that they are also')
( 276 , 'that also they are')
( 277 , 'that there is a')
( 277 , 'that there''s a')
( 278 , 'that the threat of')
( 278 , 'that the specter of')
( 279 , 'that permits you to')
( 279 , 'that lets you')
( 279 , 'that allows you to')
( 280 , 'that out of doors')
( 280 , 'that outdoor')
( 280 , 'that outside')
( 281 , 'that most closely fits')
( 281 , 'that best suits')
( 281 , 'that most nearly fits')
( 282 , 'that it is the')
( 282 , 'that it''s the')
( 283 , 'that is the reason')
( 283 , 'that''s the reason')
( 284 , 'that in the past')
( 284 , 'that previously')
( 285 , 'that he is going')
( 285 , 'that he''s going')
( 286 , 'that have a tendency')
( 286 , 'that tend')
( 287 , 'that has a tendency')
( 287 , 'that tends')
( 288 , 'that contributed to shaping')
( 288 , 'that assisted in shaping')
( 288 , 'that helped shape')
( 289 , 'that are meant to')
( 289 , 'that are supposed to')
( 289 , 'that should')
( 290 , 'that there were')
( 290 , 'that there have been')
( 291 , 'take a look at')
( 291 , 'check out')
( 292 , 'take a little time')
( 292 , 'take a while')
( 292 , 'take some time')
( 293 , 'such a lot of')
( 293 , 'so many')
( 294 , 'state of the art')
( 294 , 'state-of-the-art')
( 294 , 'cutting-edge')
( 295 , 'should not have any')
( 295 , 'shouldn''t have any')
( 295 , 'should have no')
( 296 , 'secret to meaking')
( 296 , 'key to making')
( 297 , 'our way of life')
( 297 , 'our lifestyle')
( 298 , 'our out of doors')
( 298 , 'our outside')
( 298 , 'our outdoor')
( 299 , 'often referred to as')
( 299 , 'also known as')
( 299 , 'sometimes called')
( 300 , 'of questions of safety')
( 300 , 'of issues of safety')
( 300 , 'of safety issues')
( 301 , 'of out of doors')
( 301 , 'of outside')
( 301 , 'of outdoor')
( 302 , 'of our lord god')
( 302 , 'of the lord god')
( 303 , 'of money and time')
( 303 , 'of time and money')
( 303 , 'of time and cash')
( 304 , 'of attempting to find')
( 304 , 'of searching for')
( 304 , 'of looking for')
( 305 , 'not as good as')
( 305 , 'inferior to')
( 305 , 'not so good as')
( 306 , 'most up to date')
( 306 , 'hottest')
( 306 , 'freshest')
( 307 , 'most of the people')
( 307 , 'most people')
( 307 , 'the general public')
( 308 , 'members of the family')
( 308 , 'family members')
( 309 , 'may be able to')
( 309 , 'are able to')
( 310 , 'many food and drink')
( 310 , 'many food and drinks')
( 310 , 'many foods and drinks')
( 311 , 'makes a speciality of')
( 311 , 'focuses on')
( 311 , 'specializes in')
( 312 , 'make a choice from')
( 312 , 'choose between')
( 312 , 'choose from')
( 313 , 'made a wide array')
( 313 , 'made a big selection')
( 313 , 'made a big range')
( 314 , 'look forward to finding')
( 314 , 'expect to find')
( 314 , 'anticipate finding')
( 315 , 'keeping an eye on')
( 315 , 'maintaining a tally of')
( 315 , 'keeping track of')
( 316 , 'it really is not')
( 316 , 'it''s really not')
( 316 , 'it really isn''t')
( 317 , 'it kind of feels')
( 317 , 'it sort of feels')
( 317 , 'it seems')
( 318 , 'it is time to')
( 318 , 'it''s time to')
( 319 , 'it is going to')
( 319 , 'it will')
( 319 , 'it''s going to')
( 319 , 'it''ll')
( 320 , 'is thought of as')
( 320 , 'is regarded as')
( 320 , 'is considered')
( 321 , 'is the first step')
( 321 , 'is step one')
( 322 , 'is so simple as')
( 322 , 'is as simple as')
( 323 , 'is referred to now')
( 323 , 'is now known')
( 324 , 'is picking the right')
( 324 , 'is choosing the right')
( 324 , 'is selecting the correct')
( 325 , 'is on the web')
( 325 , 'is on the internet')
